E,E^2,E^4,M,M^2,M^4,E_err,M_err
-3282.800000,10787483.200000,116829730559718.406250,10.200000,2068.400000,16202398.400000,-nan,-nan
-3282.800000,10787483.200000,116829730559718.406250,10.200000,2068.400000,16202398.400000,-nan,-nan
-3282.800000,10787483.200000,116829730559718.406250,10.200000,2068.400000,16202398.400000,-nan,-nan
-3282.800000,10787483.200000,116829730559718.406250,10.200000,2068.400000,16202398.400000,-nan,-nan
-3282.800000,10787483.200000,116829730559718.406250,10.200000,2068.400000,16202398.400000,-nan,-nan
-3282.800000,10787483.200000,116829730559718.406250,10.200000,2068.400000,16202398.400000,-nan,-nan
-3282.800000,10787483.200000,116829730559718.406250,10.200000,2068.400000,16202398.400000,-nan,-nan
-3282.800000,10787483.200000,116829730559718.406250,10.200000,2068.400000,16202398.400000,-nan,-nan
-3282.800000,10787483.200000,116829730559718.406250,10.200000,2068.400000,16202398.400000,-nan,-nan
-3290.400000,10834980.800000,117755036877747.203125,150.400000,49130.000000,6383500155.200000,7.600000,140.200000
-3290.400000,10834980.800000,117755036877747.203125,150.400000,49130.000000,6383500155.200000,7.600000,140.200000
-3290.400000,10834980.800000,117755036877747.203125,150.400000,49130.000000,6383500155.200000,7.600000,140.200000
-3290.400000,10834980.800000,117755036877747.203125,150.400000,49130.000000,6383500155.200000,7.600000,140.200000
-3290.400000,10834980.800000,117755036877747.203125,150.400000,49130.000000,6383500155.200000,7.600000,140.200000
-3290.400000,10834980.800000,117755036877747.203125,150.400000,49130.000000,6383500155.200000,7.600000,140.200000
-3290.400000,10834980.800000,117755036877747.203125,150.400000,49130.000000,6383500155.200000,7.600000,140.200000
-3290.400000,10834980.800000,117755036877747.203125,150.400000,49130.000000,6383500155.200000,7.600000,140.200000
-3290.400000,10834980.800000,117755036877747.203125,150.400000,49130.000000,6383500155.200000,7.600000,140.200000
-3290.400000,10834980.800000,117755036877747.203125,150.400000,49130.000000,6383500155.200000,7.600000,140.200000
-3282.000000,10780044.266667,116576891059293.875000,189.133333,61583.333333,7849001693.333333,9.476990,89.734522
-3282.000000,10780044.266667,116576891059293.875000,189.133333,61583.333333,7849001693.333333,9.476990,89.734522
-3282.000000,10780044.266667,116576891059293.875000,189.133333,61583.333333,7849001693.333333,9.476990,89.734522
-3282.000000,10780044.266667,116576891059293.875000,189.133333,61583.333333,7849001693.333333,9.476990,89.734522
-3282.000000,10780044.266667,116576891059293.875000,189.133333,61583.333333,7849001693.333333,9.476990,89.734522
-3282.000000,10780044.266667,116576891059293.875000,189.133333,61583.333333,7849001693.333333,9.476990,89.734522
-3282.000000,10780044.266667,116576891059293.875000,189.133333,61583.333333,7849001693.333333,9.476990,89.734522
-3282.000000,10780044.266667,116576891059293.875000,189.133333,61583.333333,7849001693.333333,9.476990,89.734522
-3282.000000,10780044.266667,116576891059293.875000,189.133333,61583.333333,7849001693.333333,9.476990,89.734522
-3282.000000,10780044.266667,116576891059293.875000,189.133333,61583.333333,7849001693.333333,9.476990,89.734522
-3276.900000,10746247.600000,115833003540832.000000,163.000000,49866.200000,5998442933.600000,8.421203,68.622834
-3276.900000,10746247.600000,115833003540832.000000,163.000000,49866.200000,5998442933.600000,8.421203,68.622834
-3276.900000,10746247.600000,115833003540832.000000,163.000000,49866.200000,5998442933.600000,8.421203,68.622834
-3276.900000,10746247.600000,115833003540832.000000,163.000000,49866.200000,5998442933.600000,8.421203,68.622834
-3276.900000,10746247.600000,115833003540832.000000,163.000000,49866.200000,5998442933.600000,8.421203,68.622834
-3276.900000,10746247.600000,115833003540832.000000,163.000000,49866.200000,5998442933.600000,8.421203,68.622834
-3276.900000,10746247.600000,115833003540832.000000,163.000000,49866.200000,5998442933.600000,8.421203,68.622834
-3276.900000,10746247.600000,115833003540832.000000,163.000000,49866.200000,5998442933.600000,8.421203,68.622834
-3276.900000,10746247.600000,115833003540832.000000,163.000000,49866.200000,5998442933.600000,8.421203,68.622834
